Topic,Growth_Ratio,Recent_Changepoint,Avg_Severity,Risk_Score,Name,Representation,Count
433,0.7692307692307692,False,2.533333333333333,1.7435897435897434,433_oil_cowling_exhaust_smoke,"['oil', 'cowling', 'exhaust', 'smoke', 'engine', 'start', 'left engine', 'smell', 'leak', 'noticed smoke']",45
78,0.9523809523809524,False,1.6103896103896105,1.7192331478045766,78_valve_mel_pump_hydraulic,"['valve', 'mel', 'pump', 'hydraulic', 'apu', 'maintenance', 'pressure', 'maintenance control', 'bleed', 'idg']",77
685,0.9523809523809524,False,1.6071428571428572,1.7176870748299322,685_taxiway_right brake_brake failed_taxi,"['taxiway', 'right brake', 'brake failed', 'taxi', 'exited taxiway', 'taxiway sign', 'brake', 'taxiway excursion', 'tiller', 'taxiway grass']",28
534,0.909090909090909,False,1.7692307692307692,1.713286713286713,534_wake_wake turbulence_turbulence_encounter,"['wake', 'wake turbulence', 'turbulence', 'encounter', 'encountered wake', 'wake vortex', 'a380', 'vortex', 'vortex encounter', 'encountered']",39
162,1.25,False,0.7384615384615385,1.7115384615384617,162_ifr_laf_tfr_vfr,"['ifr', 'laf', 'tfr', 'vfr', 'ifr clearance', 'airspace', 'odo', 'atct', 'atc zero', 'anc']",65
272,0.7843137254901961,False,2.3392857142857144,1.7016806722689075,272_hydraulic_left hydraulic_fluid_hyd,"['hydraulic', 'left hydraulic', 'fluid', 'hyd', 'loss hydraulic', 'hydraulic quantity', 'pack', 'quantity', 'center hydraulic', 'hydraulic fluid']",56
269,0.9523809523809524,False,1.5535714285714286,1.6921768707482996,269_flaps_flap_trailing edge_edge,"['flaps', 'flap', 'trailing edge', 'edge', 'trailing', 'asymmetry', 'flap disagree', 'edge flaps', 'edge flap', 'flaps 30']",56
340,0.9523809523809524,False,1.5490196078431373,1.6900093370681606,340_laser_green laser_eye_targeted,"['laser', 'green laser', 'eye', 'targeted', 'green', 'right eye', 'ultralight', 'left eye', 'vision', 'pain']",51
530,0.7692307692307692,False,2.3846153846153846,1.6863905325443787,530_fuel_tank_fuel leak_fuel flow,"['fuel', 'tank', 'fuel leak', 'fuel flow', 'imbalance', 'leak', 'pounds', 'flow', 'engine', 'burn']",39
529,0.9523809523809524,False,1.5384615384615385,1.684981684981685,529_apu_bottle_mechanic_emergency equipment,"['apu', 'bottle', 'mechanic', 'emergency equipment', 'cb', 'equipment', 'cap', 'leak', 'o2', 'oil']",39
486,0.7142857142857142,False,2.7142857142857144,1.6836734693877549,486_smoke_odor_smell_burning,"['smoke', 'odor', 'smell', 'burning', 'fumes', 'zzz1', 'electrical', 'smelled', 'zzz2', 'smoke fumes']",42
99,0.7317073170731707,False,2.5753424657534247,1.6739057801536918,99_engine_engine failure_throttle_vibration,"['engine', 'engine failure', 'throttle', 'vibration', 'thrust', 'egt', 'itt', 'idle', 'n1', 'right engine']",73
650,0.909090909090909,False,1.6666666666666667,1.6666666666666665,650_chocked_chocks_icy_loader,"['chocked', 'chocks', 'icy', 'loader', 'dolly', 'ramp', 'tow', 'brakes', 'parking', 'movements']",30
222,0.8450704225352113,False,1.9333333333333333,1.6619718309859155,222_evasive_evasive action_student_nmac,"['evasive', 'evasive action', 'student', 'nmac', 'gulfstream', 'adsb', 'oclock', 'twin', 'collision', 'practice area']",60
1,0.8196721311475411,False,2.0517241379310347,1.6605426794799325,1_rudder_directional_directional control_crosswind,"['rudder', 'directional', 'directional control', 'crosswind', 'wheel', 'tailwheel', 'runway excursion', 'grass', 'excursion', 'right rudder']",116
276,0.7042253521126761,False,2.709090909090909,1.6581306017925737,276_visual approach_visual_terrain_altitude alert,"['visual approach', 'visual', 'terrain', 'altitude alert', 'low altitude', 'alert', 'cleared visual', 'gpws', 'warning', 'approach runway']",55
492,0.9523809523809524,False,1.4761904761904763,1.6553287981859413,492_snow_ice_braking_braking action,"['snow', 'ice', 'braking', 'braking action', 'slid', 'taxiway', 'black ice', 'ramp', 'taxiways', 'nil']",42
327,0.8333333333333334,False,1.9607843137254901,1.650326797385621,327_canopy_latch_twinengine_twin aircraft,"['canopy', 'latch', 'twinengine', 'twin aircraft', 'plane', 'land', 'student', 'pattern', 'touch', 'strike']",51
692,0.9523809523809524,False,1.4444444444444444,1.6402116402116405,692_winds_wind_tailwind_winds aloft,"['winds', 'wind', 'tailwind', 'winds aloft', 'aloft', 'strong', '010 heading', 'rnav', '010', 'quartering']",27
273,0.909090909090909,False,1.5892857142857142,1.6314935064935063,273_apu_mel_generator_maintenance,"['apu', 'mel', 'generator', 'maintenance', 'start', 'bus', 'maintenance control', 'eicas', 'switch', 'ignition']",56
648,0.909090909090909,False,1.5483870967741935,1.6129032258064513,648_repair_fan_corrosion_blades,"['repair', 'fan', 'corrosion', 'blades', 'fan blades', 'blade', 'inspection', 'material', 'repaired', 'damage']",31
